-0.188397	4.52653
-0.547208	4.68695
-0.863102	4.82818
-0.944589	4.82473
-1.04838	4.78771
-1.15247	4.6165
-1.15815	4.37474
-0.932122	4.04037
-0.916703	4.01627
-0.741248	3.90632
-0.65575	3.87528
-0.579187	3.82647
-0.51627	3.81194
-0.455508	3.78108
-0.129944	3.67954
-0.131549	3.67287
-0.150311	3.54779
-0.219093	3.52647
-0.275684	3.51936
-0.307497	3.42838
-0.272093	3.33039
-0.232252	3.25913
-0.126784	3.11488
-0.0639873	3.03936
-0.00777601	3.00356
0.223975	2.8494
0.229006	2.85398
0.251092	2.8308
0.307818	2.79585
0.344927	2.87096
0.386876	2.84485
0.514117	2.71422
0.749355	2.62725
0.810872	2.40778
0.982319	2.18451
1.10645	2.02985
1.6212	1.61745
1.62648	1.61292
0.770257	3.52984
0.434075	4.1538
0.409291	4.1776
0.185788	4.35924
